url_length,domain_length,subdomain_count,has_https,has_suspicious_tokens,special_char_count,digit_count,path_length,label
97,7,0,1,0,0,9,65,phishing
97,7,0,1,0,0,12,65,phishing
21,6,0,0,0,0,1,8,phishing
45,13,1,1,0,0,10,24,phishing
92,54,1,1,0,2,28,30,phishing
47,26,1,0,0,1,0,14,phishing
52,44,1,0,1,3,0,1,phishing
29,21,1,0,0,2,0,1,phishing
43,35,2,0,0,1,0,1,phishing
40,21,0,1,0,1,12,11,phishing
40,21,0,1,0,1,12,11,phishing
40,21,0,1,0,1,12,11,phishing
48,20,0,1,0,0,2,20,phishing
40,32,1,0,1,1,0,1,phishing
68,30,1,1,0,2,21,30,phishing
41,12,1,1,0,0,0,21,phishing
46,38,1,0,0,1,0,1,phishing
78,28,1,1,1,1,4,42,phishing
78,28,1,1,1,1,7,42,phishing
78,28,1,1,1,1,5,42,phishing
78,28,1,1,1,1,8,42,phishing
46,13,1,1,0,0,10,25,phishing
76,28,1,0,1,1,4,41,phishing
78,28,1,1,1,1,2,42,phishing
78,28,1,1,1,1,5,42,phishing
78,28,1,1,1,1,4,42,phishing
78,28,1,1,1,1,1,42,phishing
76,28,1,0,1,1,5,41,phishing
76,28,1,0,1,1,5,41,phishing
78,28,1,1,1,1,3,42,phishing
48,23,1,1,0,1,3,17,phishing
78,28,1,1,1,1,5,42,phishing
46,25,1,1,0,2,0,13,phishing
37,22,1,1,0,1,0,7,phishing
29,12,0,1,0,1,0,9,phishing
67,18,1,0,0,5,25,42,phishing
53,16,1,1,1,0,0,29,phishing
42,11,0,1,1,0,0,23,phishing
29,20,1,1,0,0,0,1,phishing
151,27,1,1,1,0,29,116,phishing
39,31,2,0,0,0,0,1,phishing
56,17,2,1,0,0,9,31,phishing
57,14,0,1,0,2,0,35,phishing
38,8,0,1,0,0,0,22,phishing
52,17,2,1,0,0,12,27,phishing
91,21,1,0,1,6,24,26,phishing
91,21,1,0,1,6,24,63,phishing
132,9,0,1,0,7,46,60,phishing
45,13,1,1,0,0,9,24,phishing
24,16,1,0,0,1,0,1,phishing
32,19,1,1,0,1,0,5,phishing
28,10,0,1,0,0,8,10,phishing
47,33,1,1,0,3,0,6,phishing
33,12,0,0,0,0,5,14,phishing
46,12,0,0,0,1,5,27,phishing
30,10,0,1,0,0,8,12,phishing
29,10,0,1,0,0,7,11,phishing
28,10,0,1,0,0,8,10,phishing
26,10,0,1,0,0,5,8,phishing
28,10,0,1,0,0,8,10,phishing
27,10,0,1,0,0,8,9,phishing
24,10,0,1,0,0,5,6,phishing
